table|_field|_measurement|_start|_stop|_target|_time|_value
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T03:00:00+00:00|135.8655813953488
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.0005034474179523033|2023-04-08T03:30:00+00:00|136.35864864864868
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.0006893214893565237|2023-04-08T04:00:00+00:00|136.9623255813954
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T04:30:00+00:00|135.84223529411764
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.0013401399001943383|2023-04-08T05:00:00+00:00|136.70927835051543
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T05:30:00+00:00|136.535632183908
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T06:00:00+00:00|135.51958333333337
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.00016951388705419075|2023-04-08T06:30:00+00:00|135.85256756756758
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.001830080965232494|2023-04-08T07:00:00+00:00|137.67876404494382
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T07:30:00+00:00|135.04964285714283
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.0011971766856075305|2023-04-08T08:00:00+00:00|136.52567307692303
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.0005120279558449662|2023-04-08T08:30:00+00:00|136.20020408163265
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.00028042040169029607|2023-04-08T09:00:00+00:00|136.63870370370378
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T09:30:00+00:00|135.38076923076918
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-04-08T10:00:00+00:00|134.95601941747577
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|0.0005794907338173201|2023-04-08T10:30:00+00:00|135.5886904761905
