Time,Time(ns),Q1,Q2,T1,T2
0,1685180744042480600,0.0,0,20.949499999999997,20.949499999999997
1,1685180745042552200,0.0,0,20.949499999999997,20.949499999999997
2,1685180746043473300,0.0,0,20.949499999999997,20.949499999999997
3,1685180747043887600,0.0,0,20.949499999999997,20.6272
4,1685180748044723600,0.0,0,20.949499999999997,20.6272
5,1685180749044890600,0.0,0,20.949499999999997,20.949499999999997
6,1685180750044895600,0.0,0,20.949499999999997,20.949499999999997
7,1685180751045366200,0.0,0,20.949499999999997,20.949499999999997
8,1685180752045976800,0.0,0,20.949499999999997,20.6272
9,1685180753046349200,0.0,0,20.949499999999997,20.949499999999997
10,1685180754046565100,0.0,0,20.6272,20.949499999999997
11,1685180755046785000,0.0,0,20.6272,20.6272
12,1685180756047499500,0.0,0,20.949499999999997,20.949499999999997
13,1685180757048483600,0.0,0,20.949499999999997,20.949499999999997
14,1685180758049187700,0.0,0,20.949499999999997,20.949499999999997
15,1685180759049883600,0.0,0,20.949499999999997,20.949499999999997
16,1685180760050871800,0.0,0,20.949499999999997,20.949499999999997
17,1685180761050990100,0.0,0,20.949499999999997,20.6272
18,1685180762051176200,0.0,0,20.949499999999997,20.949499999999997
19,1685180763051758900,0.0,0,20.6272,20.949499999999997
20,1685180764052423400,0.0,0,20.949499999999997,20.949499999999997
21,1685180765052908000,38.37528147303338,0,20.949499999999997,20.949499999999997
22,1685180766053402800,38.37528147303338,0,20.949499999999997,20.949499999999997
23,1685180767053872900,38.37528147303338,0,20.949499999999997,20.6272
24,1685180768054169700,38.37528147303338,0,20.949499999999997,20.949499999999997
25,1685180769055148100,38.37528147303338,0,20.949499999999997,20.6272
26,1685180770055224800,38.37528147303338,0,20.949499999999997,20.949499999999997
27,1685180771056096000,38.37528147303338,0,20.949499999999997,20.949499999999997
28,1685180772057083000,38.37528147303338,0,21.2718,20.949499999999997
29,1685180773057719200,38.37528147303338,0,21.2718,20.949499999999997
30,1685180774058546800,38.37528147303338,0,20.949499999999997,20.949499999999997
31,1685180775059415200,38.37528147303338,0,21.2718,20.949499999999997
32,1685180776059822800,38.37528147303338,0,21.2718,20.949499999999997
33,1685180777060285400,38.37528147303338,0,21.2718,20.949499999999997
34,1685180778060763000,38.37528147303338,0,21.594099999999997,20.949499999999997
35,1685180779061254200,38.37528147303338,0,21.594099999999997,20.949499999999997
36,1685180780061475200,38.37528147303338,0,21.594099999999997,20.949499999999997
37,1685180781062393900,38.37528147303338,0,21.594099999999997,20.949499999999997
38,1685180782062547000,38.37528147303338,0,21.9164,20.949499999999997
39,1685180783063292800,38.37528147303338,0,21.9164,20.949499999999997
40,1685180784063553300,38.37528147303338,0,21.9164,20.949499999999997
41,1685180785063905300,38.37528147303338,0,21.9164,20.949499999999997
42,1685180786064526200,38.37528147303338,0,22.238699999999998,20.949499999999997
43,1685180787065186800,38.37528147303338,0,22.238699999999998,20.949499999999997
44,1685180788065593000,38.37528147303338,0,22.561,20.949499999999997
45,1685180789065961600,38.37528147303338,0,22.561,20.949499999999997
46,1685180790066412900,38.37528147303338,0,22.561,20.949499999999997
47,1685180791067197100,38.37528147303338,0,22.8833,20.949499999999997
48,1685180792067547000,38.37528147303338,0,22.8833,20.949499999999997
49,1685180793067880800,38.37528147303338,0,22.8833,20.949499999999997
50,1685180794068405900,38.37528147303338,0,23.205599999999997,20.949499999999997
51,1685180795068735400,38.37528147303338,0,23.205599999999997,20.949499999999997
52,1685180796069513600,38.37528147303338,0,23.205599999999997,20.949499999999997
53,1685180797069884300,38.37528147303338,0,23.5279,20.949499999999997
54,1685180798070593900,38.37528147303338,0,23.5279,21.2718
55,1685180799070897200,38.37528147303338,0,23.5279,20.949499999999997
56,1685180800071040000,38.37528147303338,0,23.850199999999997,20.949499999999997
57,1685180801071879400,38.37528147303338,0,23.850199999999997,21.2718
58,1685180802072489500,38.37528147303338,0,24.1725,20.949499999999997
59,1685180803072999500,38.37528147303338,0,24.1725,21.2718
60,1685180804073423800,38.37528147303338,0,24.494799999999998,21.2718
61,1685180805074291500,38.37528147303338,0,24.494799999999998,21.2718
62,1685180806075287300,38.37528147303338,0,24.494799999999998,21.2718
63,1685180807076143500,38.37528147303338,0,24.817099999999996,21.2718
64,1685180808076836900,38.37528147303338,0,24.817099999999996,21.2718
65,1685180809077364100,38.37528147303338,0,24.817099999999996,21.2718
66,1685180810077422100,38.37528147303338,0,25.1394,21.2718
67,1685180811077627900,38.37528147303338,0,25.1394,21.2718
68,1685180812078585900,38.37528147303338,0,25.1394,21.2718
69,1685180813079183100,38.37528147303338,0,25.461699999999997,21.2718
70,1685180814079666800,38.37528147303338,0,25.461699999999997,21.2718
71,1685180815080492100,38.37528147303338,0,25.784,21.2718
72,1685180816081031800,38.37528147303338,0,25.784,21.2718
73,1685180817081447600,38.37528147303338,0,25.784,21.2718
74,1685180818082444900,38.37528147303338,0,26.106299999999997,21.2718
75,1685180819083424100,38.37528147303338,0,26.106299999999997,21.2718
76,1685180820083752900,38.37528147303338,0,26.106299999999997,21.2718
77,1685180821084452900,38.37528147303338,0,26.4286,21.2718
78,1685180822084813200,38.37528147303338,0,26.4286,21.594099999999997
79,1685180823085280700,38.37528147303338,0,26.4286,21.594099999999997
80,1685180824085986600,38.37528147303338,0,26.750899999999998,21.594099999999997
81,1685180825086533700,38.37528147303338,0,26.750899999999998,21.594099999999997
82,1685180826087078200,38.37528147303338,0,26.750899999999998,21.594099999999997
83,1685180827087237500,38.37528147303338,0,27.073199999999996,21.594099999999997
84,1685180828087439200,38.37528147303338,0,27.073199999999996,21.594099999999997
85,1685180829088030400,38.37528147303338,0,27.3955,21.594099999999997
86,1685180830088316000,38.37528147303338,0,27.3955,21.594099999999997
87,1685180831088678400,38.37528147303338,0,27.3955,21.594099999999997
88,1685180832088927900,38.37528147303338,0,27.717799999999997,21.594099999999997
89,1685180833089496500,38.37528147303338,0,27.717799999999997,21.594099999999997
90,1685180834089663000,38.37528147303338,0,27.717799999999997,21.594099999999997
91,1685180835090102000,38.37528147303338,0,28.0401,21.594099999999997
92,1685180836090410300,38.37528147303338,0,28.0401,21.9164
