table|_time|_value
0|2023-04-10T10:45:00+00:00|275.8340714285714
0|2023-04-10T10:50:00+00:00|272.6403333333333
0|2023-04-10T10:55:00+00:00|274.80666666666673
0|2023-04-10T11:00:00+00:00|271.83299999999997
0|2023-04-10T11:05:00+00:00|282.25809954751134
0|2023-04-10T11:10:00+00:00|274.7965454545454
0|2023-04-10T11:15:00+00:00|276.98333333333335
0|2023-04-10T11:20:00+00:00|284.4308133971292
0|2023-04-10T11:25:00+00:00|284.063552631579
0|2023-04-10T11:30:00+00:00|278.1638888888889
0|2023-04-10T11:35:00+00:00|290.2242016806723
0|2023-04-10T11:40:00+00:00|280.16188311688313
0|2023-04-10T11:45:00+00:00|276.33252976190477
0|2023-04-10T11:50:00+00:00|276.8815
0|2023-04-10T11:55:00+00:00|277.4958333333334
0|2023-04-10T12:00:00+00:00|276.49839285714285
0|2023-04-10T12:05:00+00:00|276.6691052631579
0|2023-04-10T12:10:00+00:00|291.0303846153846
0|2023-04-10T12:15:00+00:00|279.44123684210524
0|2023-04-10T12:20:00+00:00|275.20521978021975
0|2023-04-10T12:25:00+00:00|275.1187373737374
0|2023-04-10T12:30:00+00:00|275.8733823529411
0|2023-04-10T12:35:00+00:00|275.715875
0|2023-04-10T12:40:00+00:00|273.89
0|2023-04-10T12:45:00+00:00|276.61750000000006
0|2023-04-10T12:50:00+00:00|283.9114285714286
0|2023-04-10T12:55:00+00:00|276.86428571428576
0|2023-04-10T13:00:00+00:00|285.8327272727273
0|2023-04-10T13:05:00+00:00|279.39
0|2023-04-10T13:10:00+00:00|273.5554285714286
0|2023-04-10T13:15:00+00:00|274.90833333333336
0|2023-04-10T13:20:00+00:00|273.97900000000004
0|2023-04-10T13:25:00+00:00|275.1546428571429
0|2023-04-10T13:30:00+00:00|273.58875
0|2023-04-10T13:35:00+00:00|278.2635828877005
0|2023-04-10T13:40:00+00:00|281.89882352941174
0|2023-04-10T13:45:00+00:00|274.81592857142857
0|2023-04-10T13:50:00+00:00|291.18505494505496
0|2023-04-10T13:55:00+00:00|285.8172727272727
0|2023-04-10T14:00:00+00:00|271.52416666666664
0|2023-04-10T14:05:00+00:00|276.9242857142857
0|2023-04-10T14:10:00+00:00|271.64
0|2023-04-10T14:15:00+00:00|277.92999999999995
0|2023-04-10T14:20:00+00:00|277.65552941176475
0|2023-04-10T14:25:00+00:00|277.19229166666673
0|2023-04-10T14:30:00+00:00|272.91866666666664
0|2023-04-10T14:35:00+00:00|275.02937499999996
0|2023-04-10T14:40:00+00:00|275.3416666666667
0|2023-04-10T14:45:00+00:00|278.0051785714286
0|2023-04-10T14:50:00+00:00|273.8959523809524
0|2023-04-10T14:55:00+00:00|275.6411111111111
0|2023-04-10T15:00:00+00:00|273.1442222222222
0|2023-04-10T15:05:00+00:00|285.722
0|2023-04-10T15:10:00+00:00|277.37733333333335
0|2023-04-10T15:15:00+00:00|284.6173109243698
0|2023-04-10T15:20:00+00:00|274.3875555555556
0|2023-04-10T15:25:00+00:00|274.84579831932774
0|2023-04-10T15:30:00+00:00|275.16406432748533
0|2023-04-10T15:35:00+00:00|286.68049999999994
0|2023-04-10T15:40:00+00:00|285.7633846153846
0|2023-04-10T15:45:00+00:00|289.95833333333337
0|2023-04-10T15:50:00+00:00|271.5416042780749
0|2023-04-10T15:55:00+00:00|275.71770833333335
