#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,Assembly,Device,Location,Sensor,Signal,_field,_measurement,host,topic
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:11.559398936Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:12.573634907Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:36.548580793Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:37.547830932Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:50.425281935Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:51.480525652Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:13.81812135Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:14.875870691Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:27.138430017Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:28.199078864Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:38.949910684Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:39.951425465Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:52.575329898Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:53.627864644Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:10.865153938Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:11.904769675Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:25.383504652Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:26.44153493Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:37.35813145Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:38.418298811Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:07.964236442Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:09.008076605Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:21.57831336Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:22.622409231Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:34.385581702Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
