Cycle,Time,Time(ns),Q1,Q2,T1,T2
0,0.0,1683449936666216200,0.0,0,22.188,21.543
0,1.0,1683449937666804900,0.0,0,22.188,21.543
0,2.0,1683449938667062300,0.0,0,22.155,21.543
0,3.0,1683449939667409600,0.0,0,22.188,21.543
0,4.0,1683449940668103200,0.0,0,22.155,21.543
0,5.0,1683449941676446200,0.0,0,22.188,21.543
0,6.0,1683449942676636300,0.0,0,22.188,21.543
0,7.0,1683449943677364200,0.0,0,21.897,21.543
0,8.0,1683449944677374400,0.0,0,22.155,21.543
0,9.0,1683449945677706300,0.0,0,22.188,21.543
0,10.0,1683449946677843800,0.0,0,22.188,21.543
0,11.0,1683449947678416300,0.0,0,22.188,21.543
0,12.0,1683449948678538700,0.0,0,22.188,21.543
0,13.0,1683449949679282100,0.0,0,22.188,21.543
0,14.0,1683449950687531800,0.0,0,22.188,21.543
0,15.0,1683449951688035700,0.0,0,22.188,21.543
0,16.0,1683449952688105700,0.0,0,22.188,21.543
0,17.0,1683449953688840500,0.0,0,22.188,21.543
0,18.0,1683449954689066800,0.0,0,22.188,21.543
0,19.0,1683449955689177100,0.0,0,22.188,21.543
0,20.0,1683449956689530000,0.0,0,22.188,21.543
0,21.0,1683449957690026400,100.0,0,22.188,21.575
0,22.0,1683449958690946200,100.0,0,22.188,21.575
0,23.0,1683449959691701700,100.0,0,22.188,21.543
0,24.0,1683449960692048500,100.0,0,22.188,21.543
0,25.0,1683449961692592400,100.0,0,22.188,21.575
0,26.0,1683449962692901800,100.0,0,22.188,21.672
0,27.0,1683449963693035400,100.0,0,22.188,21.575
0,28.0,1683449964693253800,100.0,0,22.445,21.543
0,29.0,1683449965693312000,100.0,0,22.51,21.543
0,30.0,1683449966694080000,100.0,0,22.542,21.575
0,31.0,1683449967706818400,100.0,0,22.832,21.543
0,32.0,1683449968707385000,100.0,0,22.929,21.64
0,33.0,1683449969722324700,100.0,0,23.154,21.64
0,34.0,1683449970736020500,100.0,0,23.477,21.672
0,35.0,1683449971736404700,100.0,0,23.767,21.704
0,36.0,1683449972736478600,100.0,0,23.896,21.672
0,37.0,1683449973736755600,100.0,0,24.153,21.769
0,38.0,1683449974737639100,100.0,0,24.443,21.801
0,39.0,1683449975738049700,100.0,0,24.766,21.801
0,40.0,1683449976738681600,100.0,0,25.088,21.865
0,41.0,1683449977749738800,100.0,0,25.41,21.833
0,42.0,1683449978749923000,100.0,0,25.732,21.865
0,43.0,1683449979750720900,100.0,0,26.055,21.865
0,44.0,1683449980751033300,100.0,0,26.377,21.865
0,45.0,1683449981751492800,100.0,0,26.699,21.865
0,46.0,1683449982752440800,100.0,0,27.021,21.865
0,47.0,1683449983752918100,100.0,0,27.44,21.865
0,48.0,1683449984753443800,100.0,0,27.956,21.865
0,49.0,1683449985753462700,100.0,0,28.311,21.865
0,50.0,1683449986753730600,100.0,0,28.633,21.865
0,51.0,1683449987754016400,100.0,0,28.955,21.865
0,52.0,1683449988754066100,100.0,0,29.277,22.059
