Time,Time(ns),Q1,Q2,T1,T2
0,1685183986928443000,0.0,0,24.314,23.863
1,1685183987928506600,0.0,0,24.186,23.896
2,1685183988928606000,0.0,0,24.25,23.896
3,1685183989928624200,0.0,0,24.218,23.928
4,1685183990928809200,0.0,0,24.25,23.799
5,1685183991929674200,0.0,0,24.218,23.799
6,1685183992929710400,0.0,0,24.25,23.863
7,1685183993930010300,0.0,0,24.282,23.799
8,1685183994930149700,0.0,0,24.347,23.928
9,1685183995930530600,0.0,0,24.121,23.831
10,1685183996931410700,0.0,0,24.186,23.831
11,1685183997931464900,0.0,0,24.186,23.799
12,1685183998932267500,0.0,0,24.218,23.863
13,1685183999932491200,0.0,0,24.218,23.799
14,1685184000933406000,0.0,0,24.121,23.799
15,1685184001933773200,0.0,0,24.153,23.799
16,1685184002934041700,0.0,0,24.153,23.799
17,1685184003934507600,0.0,0,24.153,23.799
18,1685184004935370000,0.0,0,24.218,23.799
19,1685184005936342700,0.0,0,24.121,23.799
20,1685184006936767100,0.0,0,24.121,23.799
21,1685184007937742600,0.0,0,24.121,23.799
22,1685184008937910100,0.0,0,24.121,23.799
23,1685184009938523000,43.110647880352396,0,24.153,23.831
24,1685184010939288100,43.110647880352396,0,24.121,23.799
25,1685184011940005200,43.110647880352396,0,24.121,23.799
26,1685184012940832700,43.110647880352396,0,24.121,23.799
27,1685184013941601600,43.110647880352396,0,24.153,23.799
28,1685184014941721800,43.110647880352396,0,24.186,23.799
29,1685184015941923800,43.110647880352396,0,24.347,23.799
30,1685184016942312200,43.110647880352396,0,24.347,23.799
31,1685184017943076900,43.110647880352396,0,24.443,23.799
32,1685184018943108700,43.110647880352396,0,24.443,23.799
33,1685184019943922900,43.110647880352396,0,24.443,23.799
34,1685184020944529600,43.110647880352396,0,24.443,23.799
35,1685184021945348800,43.110647880352396,0,24.669,23.799
36,1685184022945937000,43.110647880352396,0,24.766,23.799
37,1685184023946889500,43.110647880352396,0,24.766,23.799
38,1685184024946997000,43.110647880352396,0,25.056,23.799
39,1685184025947568600,43.110647880352396,0,25.088,23.799
40,1685184026947607900,43.110647880352396,0,25.088,23.799
41,1685184027947805300,43.110647880352396,0,25.378,23.799
42,1685184028947956900,43.110647880352396,0,25.41,23.799
43,1685184029948241900,43.110647880352396,0,25.507,23.799
44,1685184030949164300,43.110647880352396,0,25.732,23.799
45,1685184031949521900,43.110647880352396,0,25.765,23.799
46,1685184032950519000,0.0,0,26.055,23.799
47,1685184033951379800,0.0,0,26.055,23.799
48,1685184034951656600,0.0,0,26.345,23.799
49,1685184035952021300,0.0,0,26.377,23.799
50,1685184036952034400,0.0,0,26.57,23.799
51,1685184037953080100,0.0,0,26.699,23.831
52,1685184038953411000,0.0,0,26.699,23.831
53,1685184039954072900,0.0,0,27.021,23.896
54,1685184040954089300,0.0,0,27.021,23.96
55,1685184041954130700,0.0,0,27.021,23.96
56,1685184042954938800,0.0,0,27.312,24.057
57,1685184043955176500,0.0,0,27.344,24.024
58,1685184044955605300,0.0,0,27.344,24.089
59,1685184045956411500,0.0,0,27.344,24.121
60,1685184046957405300,0.0,0,27.473,24.121
61,1685184047957578500,0.0,0,27.666,24.121
62,1685184048958456600,0.0,0,27.666,24.121
63,1685184049959359700,0.0,0,27.666,24.121
64,1685184050959666200,0.0,0,27.666,24.121
65,1685184051960074100,0.0,0,27.666,24.121
66,1685184052960540100,0.0,0,27.666,24.121
67,1685184053961364600,0.0,0,27.666,24.121
68,1685184054962036700,0.0,0,27.698,24.121
69,1685184055962461800,0.0,0,27.73,24.121
70,1685184056963139900,0.0,0,27.827,24.121
71,1685184057963261300,0.0,0,27.795,24.121
72,1685184058964140800,0.0,0,27.763,24.121
73,1685184059965076300,0.0,0,27.924,24.121
74,1685184060965469400,0.0,0,27.988,24.121
75,1685184061965959400,0.0,0,27.859,24.153
76,1685184062966413500,0.0,0,27.859,24.25
77,1685184063967407600,0.0,0,27.892,24.25
78,1685184064967617100,0.0,0,27.795,24.347
79,1685184065968555800,0.0,0,27.795,24.411
80,1685184066969345200,0.0,0,27.859,24.443
81,1685184067969557000,0.0,0,27.73,24.443
82,1685184068969720900,0.0,0,27.698,24.443
83,1685184069970508000,0.0,0,27.698,24.443
84,1685184070970843600,0.0,0,27.666,24.443
85,1685184071971129500,0.0,0,27.666,24.443
86,1685184072971932500,0.0,0,27.666,24.443
87,1685184073972013400,0.0,0,27.666,24.443
88,1685184074972489200,0.0,0,27.666,24.443
89,1685184075972613600,0.0,0,27.666,24.443
90,1685184076973322700,0.0,0,27.666,24.443
91,1685184077973980900,0.0,0,27.666,24.443
92,1685184078974435400,0.0,0,27.666,24.443
93,1685184079975420400,0.0,0,27.666,24.443
94,1685184080975860700,0.0,0,27.666,24.443
95,1685184081976526400,0.0,0,27.666,24.443
96,1685184082976560800,0.0,0,27.666,24.443
97,1685184083976857200,0.0,0,27.634,24.443
98,1685184084977169200,0.0,0,27.666,24.443
99,1685184085977797700,0.0,0,27.666,24.443
100,1685184086978515200,0.0,0,27.634,24.508
101,1685184087978985500,0.0,0,27.569,24.508
102,1685184088979148300,0.0,0,27.44,24.572
103,1685184089979927600,0.0,0,27.376,24.572
104,1685184090980557000,0.0,0,27.344,24.572
105,1685184091981278000,0.0,0,27.344,24.637
106,1685184092981746800,0.0,0,27.344,24.701
107,1685184093981924700,0.0,0,27.344,24.766
108,1685184094982400100,0.0,0,27.344,24.669
109,1685184095983055500,0.0,0,27.344,24.766
110,1685184096983090300,0.0,0,27.344,24.766
111,1685184097983325400,0.0,0,27.344,24.766
112,1685184098984220200,0.0,0,27.344,24.766
113,1685184099984561000,56.51374925947741,0,27.344,24.766
114,1685184100984635900,56.51374925947741,0,27.344,24.766
115,1685184101984808400,56.51374925947741,0,27.344,24.766
116,1685184102985322500,56.51374925947741,0,27.344,24.766
117,1685184103985396000,56.51374925947741,0,27.344,24.766
118,1685184104986224200,56.51374925947741,0,27.312,24.766
119,1685184105986726000,56.51374925947741,0,27.344,24.766
120,1685184106987687300,56.51374925947741,0,27.344,24.766
121,1685184107987797000,56.51374925947741,0,27.344,24.766
122,1685184108988631600,56.51374925947741,0,27.344,24.766
123,1685184109988776800,56.51374925947741,0,27.344,24.766
124,1685184110989331000,56.51374925947741,0,27.408,24.766
125,1685184111990198100,56.51374925947741,0,27.634,24.766
126,1685184112990749100,56.51374925947741,0,27.666,24.766
